date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:21	203012/203012	---M-Z	200	added ('OK')	text/html	etag:%222e87ec2-31904-5d783aa18e880-gzip%22	https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/vegetables-demo.html	(from )
22:53:22	31/31	---M--	200	added ('OK')	text/plain	etag:%221c5ed12-1f-573674df1a4fa%22	https://themes.pixelstrap.com/robots.txt		(from )
22:53:22	1043/1043	---M--	200	added ('OK')	application/json	etag:%222e87e9d-413-5d76cc0a48300%22	https://themes.pixelstrap.com/voxo/front-end/manifest.json	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/manifest.json	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:23	590/590	---M--	200	added ('OK')	image/png	etag:%222e87bf0-24e-5ce38b8f35b00%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/favicon/4.png	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/favicon/4.png	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:24	603/603	---M--	200	added ('OK')	image/png	etag:%222e87bf2-25b-5ce38b8f35b00%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/favicon/6.png	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/favicon/6.png	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:25	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Mar%202022%2021:53:25%20GMT	https://fonts.gstatic.com/	/home/ik/websites/frontend-vegetables/fonts.gstatic.com/index.html	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:26	848/848	---MC-	200	added ('OK')	text/css	date:Tue,%2022%20Mar%202022%2021:53:25%20GMT	https://fonts.googleapis.com/css2?family=Rubik:wght@400;500;600;700&display=swap	/home/ik/websites/frontend-vegetables/fonts.googleapis.com/css26830.css	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:27	1368/1368	---MC-	200	added ('OK')	text/css	date:Tue,%2022%20Mar%202022%2021:53:26%20GMT	https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&display=swap	/home/ik/websites/frontend-vegetables/fonts.googleapis.com/css237f4.css	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:30	56794/56794	---M--	200	added ('OK')	text/css	etag:%222e864a9-ddda-5d794c357dc00%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/font-awesome.css	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/font-awesome.css	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:31	2310/2310	---M--	200	added ('OK')	text/css	etag:%222e864a8-906-5d794c3395780%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/feather-icon.css	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/feather-icon.css	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:34	208581/208581	---M--	200	added ('OK')	text/css	etag:%222e8649a-32ec5-5d64c1f819d80%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/animate.css	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/animate.css	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:35	1282/1282	---M--	200	added ('OK')	text/css	etag:%222e877f8-502-5d794c2082a80%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/slick/slick.css	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/slick/slick.css	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:36	2219/2219	---M--	200	added ('OK')	text/css	etag:%222e877f9-8ab-5d794c18e1880%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/slick/slick-theme.css	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/slick/slick-theme.css	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:37	5573/5573	---M-Z	200	added ('OK')	text/html	etag:%222e87e9c-15c5-5d637ace83e00-gzip%22	https://themes.pixelstrap.com/voxo/front-end/log-in.html	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/log-in.html	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:38	5831/5831	---M-Z	200	added ('OK')	text/html	etag:%222e87ebf-16c7-5d637abd59580-gzip%22	https://themes.pixelstrap.com/voxo/front-end/sign-up.html	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/sign-up.html	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:39	372950/372950	---M--	200	added ('OK')	text/css	etag:%222e85688-5b0d6-5d794c2fc4e80%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/demo6.css	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/css/demo6.css	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:39	242413/242413	---M-Z	200	added ('OK')	text/html	etag:%222e87e9b-3b2ed-5d783aa18e880-gzip%22	https://themes.pixelstrap.com/voxo/front-end/index.html	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/index.html	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:40	7881/7881	---M--	200	added ('OK')	image/svg+xml	etag:%222e87e81-1ec9-5d778509bfa00%22	https://themes.pixelstrap.com/voxo/front-end/assets/svg/icons.svg	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/svg/icons.svg	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:41	994/994	---M--	200	added ('OK')	image/png	etag:%222e87d05-3e2-5ce38b8f35b00%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/logo.png	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/logo.png	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:43	19861/19861	---M--	200	added ('OK')	image/jpeg	etag:%222e87b90-4d95-5ce38b8f35b00%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/electronics/banner/4.jpg	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/electronics/banner/4.jpg	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:43	220436/220436	---M-Z	200	added ('OK')	text/html	etag:%222e87eb8-35d14-5d783aa18e880-gzip%22	https://themes.pixelstrap.com/voxo/front-end/shop-left-sidebar.html	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/shop-left-sidebar.html	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:45	38773/38773	---M--	200	added ('OK')	image/jpeg	etag:%222e87b7e-9775-5ce38b8f35b00%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/banner/1.jpg	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/banner/1.jpg	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:45	26899/26899	---M--	200	added ('OK')	image/jpeg	etag:%222e87b96-6913-5ce38b8f35b00%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/electronics/product/1.jpg	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/electronics/product/1.jpg	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:47	27278/27278	---M--	200	added ('OK')	image/jpeg	etag:%222e87b9a-6a8e-5ce38b8f35b00%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/electronics/product/5.jpg	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/electronics/product/5.jpg	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:47	102733/102733	---M-Z	200	added ('OK')	text/html	etag:%222e87ec3-1914d-5d783aa18e880-gzip%22	https://themes.pixelstrap.com/voxo/front-end/wishlist.html	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/wishlist.html	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:49	115025/115025	---M--	200	added ('OK')	image/jpeg	etag:%222e87bdc-1c151-5ce38b8f35b00%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/fashion/product/front/1.jpg	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/fashion/product/front/1.jpg	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:51	107361/107361	---M-Z	200	added ('OK')	text/html	etag:%222e87e8a-1a361-5d783aa18e880-gzip%22	https://themes.pixelstrap.com/voxo/front-end/cart.html	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/cart.html	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:52	121844/121844	---M--	200	added ('OK')	image/jpeg	etag:%222e87be2-1dbf4-5ce38b8f35b00%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/fashion/product/front/7.jpg	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/fashion/product/front/7.jpg	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:54	182680/182680	---M--	200	added ('OK')	image/jpeg	etag:%222e87b88-2c998-5d679f6b50a80%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/fashion.jpg	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/fashion.jpg	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
22:53:55	207244/207244	---M-Z	200	added ('OK')	text/html	etag:%222e87e98-3298c-5d783aa18e880-gzip%22	https://themes.pixelstrap.com/voxo/front-end/flower-demo.html	/home/ik/websites/frontend-vegetables/themes.pixelstrap.com/voxo/front-end/flower-demo.html	(from https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html)
